seed,bot,score,moves,movesEarned,endReason,frenzies,peakMeter,crashed,maxCombo,bestMovePts,proteinTiles,carbTiles,pctCrash,pctNormal,pctKeto,pctDeep,pctFrenzy,tierUpsSeen,firstTierUpMove,endState,endedWithin5OfFrenzy,longestDryGap,rewardEvents,ptsCrash,ptsNormal,ptsKeto,ptsDeep,ptsFrenzy,nearMissNoFrenzy,fellBackWithoutFrenzy,lastMoveWasReward,ptsInFrenzy,movesInFrenzy,ptsOutside,movesOutside,climbCount,climbLengths
135,random,7391,46,16,budget,0,93,true,6,1095,121,193,0.06521739130434782,0.7391304347826086,0.13043478260869565,0.06521739130434782,0,8,8,normal,false,4,21,861,4565,1470,495,0,true,false,false,0,0,7391,46,0,
136,random,2013,30,0,budget,0,50,true,3,270,54,90,0.36666666666666664,0.6333333333333333,0,0,0,6,4,normal,false,3,12,528,1485,0,0,0,false,false,false,0,0,2013,30,0,
137,random,15710,62,32,budget,2,100,false,5,2880,158,208,0,0.5806451612903226,0.20967741935483872,0.04838709677419355,0.16129032258064516,10,4,normal,false,12,24,0,3165,2970,735,8840,false,true,false,8930,10,6780,52,2,4|3
138,random,3051,30,0,budget,0,62,true,4,495,69,100,0.2,0.8,0,0,0,2,11,normal,false,5,13,181,2870,0,0,0,false,false,true,0,0,3051,30,0,
139,random,3023,30,0,budget,0,65,true,5,635,73,98,0.03333333333333333,0.9666666666666667,0,0,0,1,6,normal,false,13,9,93,2930,0,0,0,false,false,true,0,0,3023,30,0,
140,random,3075,30,0,budget,0,66,true,4,375,67,106,0.1,0.9,0,0,0,2,14,normal,false,6,9,130,2945,0,0,0,false,false,true,0,0,3075,30,0,
141,random,9095,54,24,budget,2,100,true,5,1650,124,159,0,0.6481481481481481,0.14814814814814814,0.018518518518518517,0.18518518518518517,8,1,normal,false,8,16,60,3065,1280,270,4420,false,false,false,4430,10,4665,44,2,3|3
142,random,3839,32,2,budget,0,70,true,4,525,87,124,0.15625,0.84375,0,0,0,3,9,normal,false,3,14,354,3485,0,0,0,false,false,false,0,0,3839,32,0,
143,random,8320,45,15,budget,1,100,true,5,3240,104,145,0.17777777777777778,0.5333333333333333,0.13333333333333333,0.044444444444444446,0.1111111111111111,6,9,normal,false,5,20,430,2355,900,255,4380,false,false,true,1260,5,7060,40,1,3
144,random,7223,48,18,budget,0,97,true,4,1195,117,167,0.0625,0.7291666666666666,0.16666666666666666,0.041666666666666664,0,8,2,crash,false,5,27,103,3440,2510,1170,0,true,true,false,0,0,7223,48,0,
145,random,6165,40,10,budget,0,92,true,4,955,118,154,0.05,0.875,0.05,0.025,0,5,8,normal,false,5,18,55,4730,1200,180,0,true,false,false,0,0,6165,40,0,
146,random,3625,30,0,budget,0,63,true,5,615,70,102,0.03333333333333333,0.9666666666666667,0,0,0,1,10,normal,false,5,13,15,3610,0,0,0,false,false,true,0,0,3625,30,0,
147,random,2297,32,2,budget,0,74,true,4,660,60,83,0.1875,0.78125,0.03125,0,0,3,1,normal,false,8,7,242,1965,90,0,0,false,false,false,0,0,2297,32,0,
148,random,12095,63,33,budget,1,100,false,4,1380,174,222,0,0.746031746031746,0.14285714285714285,0.031746031746031744,0.07936507936507936,13,4,normal,false,9,28,0,4595,2910,270,4320,false,true,false,3220,5,8875,58,1,2
149,random,6085,42,12,budget,0,93,false,4,765,116,152,0,0.8333333333333334,0.14285714285714285,0.023809523809523808,0,6,23,normal,false,3,23,0,4300,1380,405,0,true,false,false,0,0,6085,42,0,
150,random,6850,44,14,budget,0,94,true,6,945,119,151,0.022727272727272728,0.75,0.1590909090909091,0.06818181818181818,0,8,1,normal,false,6,20,15,4750,600,1485,0,true,false,false,0,0,6850,44,0,
151,random,3205,34,4,budget,0,78,true,4,345,69,105,0.029411764705882353,0.9411764705882353,0.029411764705882353,0,0,2,3,crash,false,3,14,0,3115,90,0,0,false,false,false,0,0,3205,34,0,
152,random,4060,34,4,budget,0,77,true,4,510,76,114,0.029411764705882353,0.9411764705882353,0.029411764705882353,0,0,3,14,normal,false,7,14,70,3450,540,0,0,false,false,true,0,0,4060,34,0,
153,random,3025,30,0,budget,0,68,true,4,490,71,105,0.03333333333333333,0.9666666666666667,0,0,0,1,27,normal,false,7,13,65,2960,0,0,0,false,false,false,0,0,3025,30,0,
154,random,9516,55,25,budget,1,100,true,7,2550,141,189,0.2545454545454545,0.509090909090909,0.09090909090909091,0.05454545454545454,0.09090909090909091,13,8,normal,false,9,26,686,3125,3090,1035,1580,false,false,true,4010,5,5506,50,1,4
155,random,3467,30,0,budget,0,69,true,4,855,75,105,0.36666666666666664,0.6333333333333333,0,0,0,5,14,normal,false,7,12,302,3165,0,0,0,false,false,true,0,0,3467,30,0,
156,random,2342,30,0,budget,0,65,true,4,465,57,92,0.36666666666666664,0.6333333333333333,0,0,0,2,8,normal,false,5,9,437,1905,0,0,0,false,false,false,0,0,2342,30,0,
157,random,11860,61,31,budget,1,100,true,4,1020,151,239,0.13114754098360656,0.6229508196721312,0.13114754098360656,0.03278688524590164,0.08196721311475409,14,4,crash,false,8,31,475,4790,2080,1575,2940,false,false,true,2740,5,9120,56,0,
158,random,3134,34,4,budget,0,85,true,4,450,70,111,0.29411764705882354,0.6764705882352942,0.029411764705882353,0,0,4,6,crash,false,6,15,269,2505,360,0,0,false,false,false,0,0,3134,34,0,
159,random,6123,54,24,budget,0,94,true,6,855,119,155,0.05555555555555555,0.7037037037037037,0.14814814814814814,0.09259259259259259,0,11,11,normal,false,7,25,143,3885,1240,855,0,true,false,false,0,0,6123,54,0,
160,random,2979,32,2,budget,0,70,true,3,360,63,109,0.21875,0.78125,0,0,0,4,1,crash,false,4,14,264,2715,0,0,0,false,false,false,0,0,2979,32,0,
161,random,2865,34,4,budget,0,80,true,3,375,68,100,0.08823529411764706,0.8823529411764706,0.029411764705882353,0,0,4,9,crash,false,6,10,30,2505,330,0,0,false,false,false,0,0,2865,34,0,
162,random,2614,30,0,budget,0,60,true,3,510,61,107,0.16666666666666666,0.8333333333333334,0,0,0,2,26,normal,false,5,13,439,2175,0,0,0,false,false,true,0,0,2614,30,0,
163,random,4010,36,6,budget,0,87,true,4,640,78,128,0.2222222222222222,0.6944444444444444,0.08333333333333333,0,0,6,2,normal,false,8,15,270,3200,540,0,0,false,false,true,0,0,4010,36,0,
164,random,1488,30,0,budget,0,59,true,3,173,42,74,0.4,0.6,0,0,0,1,20,crash,false,9,6,408,1080,0,0,0,false,false,true,0,0,1488,30,0,
165,random,29716,101,71,budget,3,100,true,7,4855,274,340,0.04950495049504951,0.40594059405940597,0.36633663366336633,0.0297029702970297,0.1485148514851485,26,4,normal,false,4,48,236,4855,7570,6675,10380,false,true,false,12335,15,17381,86,3,2|4|4
166,random,1343,30,0,budget,0,50,true,3,285,45,78,0.7333333333333333,0.26666666666666666,0,0,0,2,24,normal,false,8,8,598,745,0,0,0,false,false,false,0,0,1343,30,0,
167,random,7311,44,14,budget,0,95,true,6,1710,97,149,0.1590909090909091,0.6818181818181818,0.09090909090909091,0.06818181818181818,0,9,1,normal,false,5,18,261,2775,1710,2565,0,true,true,false,0,0,7311,44,0,
168,random,3963,32,2,budget,0,74,true,4,920,78,116,0.125,0.84375,0.03125,0,0,3,8,normal,false,3,13,143,3730,90,0,0,false,false,false,0,0,3963,32,0,
169,random,4748,32,2,budget,0,70,true,6,820,90,125,0.15625,0.84375,0,0,0,4,14,normal,false,3,15,203,4545,0,0,0,false,false,true,0,0,4748,32,0,
170,random,1937,30,0,budget,0,62,true,4,225,42,110,0.6333333333333333,0.36666666666666664,0,0,0,4,18,crash,false,5,11,1082,855,0,0,0,false,false,false,0,0,1937,30,0,
171,random,1949,30,0,budget,0,52,true,3,240,53,89,0.4666666666666667,0.5333333333333333,0,0,0,3,11,normal,false,4,10,629,1320,0,0,0,false,false,true,0,0,1949,30,0,
172,random,255,5,0,lock,0,65,false,2,105,9,9,0,1,0,0,0,0,-1,normal,false,3,1,0,255,0,0,0,false,false,false,0,0,255,5,0,
173,random,10712,51,21,budget,1,100,true,6,2130,125,192,0.13725490196078433,0.5882352941176471,0.11764705882352941,0.058823529411764705,0.09803921568627451,11,4,normal,false,4,26,387,3900,2670,615,3140,false,true,true,2840,5,7872,46,1,3
174,random,2719,30,0,budget,0,55,true,5,750,63,102,0.3333333333333333,0.6666666666666666,0,0,0,4,11,normal,false,3,13,459,2260,0,0,0,false,false,true,0,0,2719,30,0,
175,random,5814,45,15,budget,1,100,true,4,1020,105,125,0.17777777777777778,0.5777777777777777,0.13333333333333333,0,0.1111111111111111,7,1,normal,false,8,12,214,2480,840,240,2040,false,false,false,2220,5,3594,40,1,3
176,random,3145,36,6,budget,0,73,true,5,555,69,100,0.25,0.6666666666666666,0.08333333333333333,0,0,5,2,normal,false,4,16,445,2430,270,0,0,false,false,false,0,0,3145,36,0,
177,random,3426,30,0,budget,0,67,true,5,885,75,100,0.06666666666666667,0.9333333333333333,0,0,0,1,10,normal,false,5,13,241,3185,0,0,0,false,false,false,0,0,3426,30,0,
178,random,3739,30,0,budget,0,62,true,8,1940,50,97,0.26666666666666666,0.7333333333333333,0,0,0,2,13,crash,false,7,8,264,3475,0,0,0,false,false,false,0,0,3739,30,0,
179,random,3283,30,0,budget,0,62,true,5,795,78,112,0.16666666666666666,0.8333333333333334,0,0,0,2,23,normal,false,8,13,403,2880,0,0,0,false,false,false,0,0,3283,30,0,
180,random,1999,30,0,budget,0,69,true,3,300,55,94,0.5,0.5,0,0,0,2,19,normal,false,14,9,574,1425,0,0,0,false,false,false,0,0,1999,30,0,
181,random,4155,30,0,budget,0,68,true,7,1555,76,109,0.03333333333333333,0.9666666666666667,0,0,0,1,29,normal,false,6,7,15,4140,0,0,0,false,false,false,0,0,4155,30,0,
182,random,4840,38,8,budget,0,81,true,6,795,87,134,0.21052631578947367,0.7368421052631579,0.05263157894736842,0,0,4,18,crash,false,3,20,610,3510,720,0,0,false,false,false,0,0,4840,38,0,
183,random,2885,30,0,budget,0,50,true,5,585,63,108,0.36666666666666664,0.6333333333333333,0,0,0,2,11,normal,false,7,8,535,2350,0,0,0,false,false,false,0,0,2885,30,0,
184,random,2938,30,0,budget,0,63,true,5,1070,61,93,0.1,0.9,0,0,0,3,15,normal,false,7,7,128,2810,0,0,0,false,false,true,0,0,2938,30,0,
185,random,4595,32,2,budget,0,79,true,8,1440,88,113,0,0.96875,0.03125,0,0,1,26,normal,false,5,13,30,4475,90,0,0,false,false,false,0,0,4595,32,0,
186,random,6635,44,14,budget,0,90,true,5,845,101,148,0.022727272727272728,0.8409090909090909,0.09090909090909091,0.045454545454545456,0,6,2,crash,false,7,16,0,4565,1530,540,0,true,false,false,0,0,6635,44,0,
187,random,3335,30,0,budget,0,66,true,4,540,69,103,0.03333333333333333,0.9666666666666667,0,0,0,0,-1,crash,false,11,8,60,3275,0,0,0,false,false,false,0,0,3335,30,0,
188,random,3697,30,0,budget,0,62,true,4,495,78,109,0.13333333333333333,0.8666666666666667,0,0,0,2,24,normal,false,7,11,302,3395,0,0,0,false,false,false,0,0,3697,30,0,
189,random,10394,51,21,budget,1,100,true,5,2535,129,182,0.11764705882352941,0.5686274509803921,0.17647058823529413,0.0392156862745098,0.09803921568627451,9,12,normal,false,7,24,349,3880,1380,3945,840,false,false,true,1965,5,8429,46,0,
190,random,20309,71,41,budget,3,100,true,6,1865,201,250,0.07042253521126761,0.49295774647887325,0.18309859154929578,0.04225352112676056,0.2112676056338028,13,3,normal,false,7,29,189,3955,2910,3315,9940,false,true,false,9890,15,10419,56,3,2|3|2
191,random,3743,34,4,budget,0,80,true,5,705,67,108,0.058823529411764705,0.9117647058823529,0.029411764705882353,0,0,2,3,crash,false,6,11,68,2955,720,0,0,false,false,false,0,0,3743,34,0,
192,random,3821,30,0,budget,0,50,true,5,1320,67,112,0.13333333333333333,0.8666666666666667,0,0,0,3,6,normal,false,3,13,146,3675,0,0,0,false,false,true,0,0,3821,30,0,
193,random,3440,36,6,budget,0,74,true,4,450,84,103,0.027777777777777776,0.8888888888888888,0.08333333333333333,0,0,2,8,normal,false,9,10,100,3070,270,0,0,false,false,false,0,0,3440,36,0,
194,random,2753,32,2,budget,0,74,true,4,470,59,105,0.1875,0.78125,0.03125,0,0,6,5,normal,false,3,12,368,2295,90,0,0,false,false,true,0,0,2753,32,0,
195,random,2671,30,0,budget,0,62,true,3,345,63,106,0.23333333333333334,0.7666666666666667,0,0,0,2,20,normal,false,2,14,296,2375,0,0,0,false,false,false,0,0,2671,30,0,
196,random,2394,30,0,budget,0,54,true,4,435,60,85,0.26666666666666666,0.7333333333333333,0,0,0,4,6,normal,false,5,12,309,2085,0,0,0,false,false,true,0,0,2394,30,0,
197,random,4811,36,6,budget,0,82,true,6,1088,79,123,0.1388888888888889,0.8055555555555556,0.05555555555555555,0,0,4,17,crash,false,6,13,271,3670,870,0,0,false,false,false,0,0,4811,36,0,
198,random,3094,30,0,budget,0,65,true,4,545,66,105,0.13333333333333333,0.8666666666666667,0,0,0,0,-1,crash,false,7,8,69,3025,0,0,0,false,false,false,0,0,3094,30,0,
199,random,4854,32,2,budget,0,80,true,6,1993,82,131,0.4375,0.53125,0.03125,0,0,4,7,crash,false,6,10,509,4255,90,0,0,false,false,false,0,0,4854,32,0,
200,random,2818,30,0,budget,0,50,true,5,1095,50,127,0.7333333333333333,0.26666666666666666,0,0,0,2,7,normal,false,4,10,1228,1590,0,0,0,false,false,false,0,0,2818,30,0,
201,random,8045,59,29,budget,1,100,true,4,750,131,182,0,0.7796610169491526,0.11864406779661017,0.01694915254237288,0.0847457627118644,13,2,normal,false,6,22,30,3815,2910,90,1200,false,false,false,1110,5,6935,54,1,3
202,random,3188,30,0,budget,0,51,true,6,1170,60,107,0.4,0.6,0,0,0,3,14,normal,false,11,11,423,2765,0,0,0,false,false,true,0,0,3188,30,0,
203,random,11410,57,27,budget,1,100,true,5,990,152,210,0.017543859649122806,0.7192982456140351,0.14035087719298245,0.03508771929824561,0.08771929824561403,13,5,normal,false,16,28,150,5390,1890,900,3080,false,false,false,3050,5,8360,52,1,8
204,random,6185,30,0,budget,0,67,true,8,2250,86,131,0.03333333333333333,0.9666666666666667,0,0,0,1,25,normal,false,6,9,15,6170,0,0,0,false,false,false,0,0,6185,30,0,
205,random,3151,32,2,budget,0,72,true,4,825,65,117,0.375,0.625,0,0,0,6,2,crash,false,6,13,611,2360,180,0,0,false,false,false,0,0,3151,32,0,
206,random,1927,30,0,budget,0,50,true,3,275,48,95,0.36666666666666664,0.6333333333333333,0,0,0,3,12,normal,false,5,10,557,1370,0,0,0,false,false,false,0,0,1927,30,0,
207,random,4782,34,4,budget,0,91,true,6,990,94,129,0.23529411764705882,0.7058823529411765,0.029411764705882353,0.029411764705882353,0,5,13,normal,false,3,16,492,3945,210,135,0,true,false,false,0,0,4782,34,0,
208,random,3576,32,2,budget,0,71,true,4,400,64,136,0.3125,0.6875,0,0,0,3,13,normal,false,6,12,936,2340,300,0,0,false,false,false,0,0,3576,32,0,
209,random,2375,30,0,budget,0,62,true,3,255,54,100,0.3333333333333333,0.6666666666666666,0,0,0,3,11,normal,false,7,9,530,1845,0,0,0,false,false,true,0,0,2375,30,0,
210,random,6195,34,4,budget,0,77,true,6,1430,91,146,0.08823529411764706,0.8529411764705882,0.058823529411764705,0,0,4,2,crash,false,3,16,30,5985,180,0,0,false,false,false,0,0,6195,34,0,
211,random,6680,34,13,lock,1,100,true,5,720,83,137,0.029411764705882353,0.7352941176470589,0.08823529411764706,0,0.14705882352941177,5,6,normal,false,4,16,15,3365,1740,0,1560,false,false,true,1500,5,5180,29,1,2
212,random,3745,30,0,budget,0,62,true,4,470,72,110,0.03333333333333333,0.9666666666666667,0,0,0,1,23,normal,false,4,13,105,3640,0,0,0,false,false,true,0,0,3745,30,0,
213,random,2950,20,12,lock,0,93,true,3,730,49,79,0.1,0.5,0.35,0.05,0,6,1,crash,false,4,11,15,1160,1280,495,0,true,false,false,0,0,2950,20,0,
214,random,4204,38,8,budget,0,80,true,4,1105,77,125,0.13157894736842105,0.8157894736842105,0.05263157894736842,0,0,5,5,crash,false,6,13,339,2605,1260,0,0,false,false,false,0,0,4204,38,0,
215,random,2810,38,8,budget,0,86,false,4,405,72,93,0,0.868421052631579,0.13157894736842105,0,0,3,8,normal,false,11,12,0,2360,450,0,0,false,false,true,0,0,2810,38,0,
216,random,2235,30,0,budget,0,66,true,4,465,57,75,0.06666666666666667,0.9333333333333333,0,0,0,2,17,normal,false,5,11,30,2205,0,0,0,false,false,false,0,0,2235,30,0,
217,random,2808,30,0,budget,0,50,true,3,375,62,108,0.36666666666666664,0.6333333333333333,0,0,0,4,10,normal,false,5,13,518,2290,0,0,0,false,false,false,0,0,2808,30,0,
218,random,4020,40,10,budget,0,92,true,3,435,79,134,0.25,0.6,0.1,0.05,0,7,2,crash,false,5,18,570,2445,690,315,0,true,false,false,0,0,4020,40,0,
219,random,1676,30,0,budget,0,63,true,3,170,51,69,0.13333333333333333,0.8666666666666667,0,0,0,2,23,normal,false,10,8,216,1460,0,0,0,false,false,false,0,0,1676,30,0,
220,random,3978,36,6,budget,0,73,true,4,495,83,127,0.1388888888888889,0.8055555555555556,0.05555555555555555,0,0,5,2,crash,false,3,19,273,3285,420,0,0,false,false,false,0,0,3978,36,0,
221,random,3230,32,2,budget,0,79,true,4,570,67,103,0.03125,0.96875,0,0,0,2,4,normal,false,6,11,160,2530,540,0,0,false,false,false,0,0,3230,32,0,
222,random,14540,67,37,budget,3,100,true,5,2300,154,206,0.014925373134328358,0.5671641791044776,0.13432835820895522,0.05970149253731343,0.22388059701492538,13,12,crash,false,8,31,0,3375,1500,1485,8180,false,false,false,7115,15,7425,52,3,2|3|3
223,random,2937,30,0,budget,0,56,true,4,630,62,107,0.3,0.7,0,0,0,3,14,normal,false,7,10,427,2510,0,0,0,false,false,true,0,0,2937,30,0,
224,random,4501,32,2,budget,0,71,true,5,1305,76,137,0.125,0.875,0,0,0,3,5,crash,false,4,12,766,3735,0,0,0,false,false,true,0,0,4501,32,0,
225,random,6535,36,6,budget,0,83,true,7,2820,84,135,0.027777777777777776,0.8611111111111112,0.1111111111111111,0,0,4,1,normal,false,10,12,45,3430,3060,0,0,false,false,false,0,0,6535,36,0,
226,random,4278,30,0,budget,0,62,true,5,1005,91,126,0.06666666666666667,0.9333333333333333,0,0,0,2,5,normal,false,3,11,183,4095,0,0,0,false,false,false,0,0,4278,30,0,
227,random,3279,32,2,budget,0,71,true,4,630,78,105,0.15625,0.84375,0,0,0,2,8,normal,false,6,13,189,3090,0,0,0,false,false,true,0,0,3279,32,0,
228,random,3887,30,0,budget,0,50,true,6,1470,65,119,0.3,0.7,0,0,0,3,8,normal,false,7,7,467,3420,0,0,0,false,false,false,0,0,3887,30,0,
229,random,2005,30,0,budget,0,52,true,3,270,48,91,0.26666666666666666,0.7333333333333333,0,0,0,2,8,normal,false,7,7,485,1520,0,0,0,false,false,false,0,0,2005,30,0,
230,random,4495,40,10,budget,0,84,false,4,665,99,126,0,0.875,0.125,0,0,5,20,normal,false,11,19,0,3415,1080,0,0,false,false,false,0,0,4495,40,0,
