seed,bot,score,moves,movesEarned,endReason,frenzies,peakMeter,crashed,maxCombo,bestMovePts,proteinTiles,carbTiles,pctCrash,pctNormal,pctKeto,pctDeep,pctFrenzy,tierUpsSeen,firstTierUpMove,endState,endedWithin5OfFrenzy,longestDryGap,rewardEvents,ptsCrash,ptsNormal,ptsKeto,ptsDeep,ptsFrenzy,nearMissNoFrenzy,fellBackWithoutFrenzy,lastMoveWasReward,ptsInFrenzy,movesInFrenzy,ptsOutside,movesOutside,climbCount,climbLengths
1,tempted_1_0,11056,49,19,budget,1,100,true,4,1800,165,234,0.08163265306122448,0.6122448979591837,0.14285714285714285,0.061224489795918366,0.10204081632653061,10,5,normal,false,4,24,666,4110,1700,1080,3500,false,true,false,3080,5,7976,44,1,6
2,tempted_1_0,18308,60,30,budget,2,100,true,8,3350,201,308,0.06666666666666667,0.5333333333333333,0.2,0.03333333333333333,0.16666666666666666,11,11,crash,false,3,27,343,7700,2820,585,6860,false,false,false,6840,10,11468,50,2,2|8
3,tempted_1_0,5564,40,10,budget,0,95,true,4,1000,99,182,0.2,0.725,0.025,0.05,0,5,7,normal,false,4,19,604,3505,960,495,0,true,true,false,0,0,5564,40,0,
4,tempted_1_0,2572,30,0,budget,0,50,true,4,655,53,125,0.5666666666666667,0.43333333333333335,0,0,0,2,14,normal,false,11,8,607,1965,0,0,0,false,false,true,0,0,2572,30,0,
5,tempted_1_0,8795,55,25,budget,1,100,true,4,1120,159,203,0.01818181818181818,0.7454545454545455,0.14545454545454545,0,0.09090909090909091,9,18,normal,false,6,25,45,4210,1330,450,2760,false,false,false,2680,5,6115,50,1,4
6,tempted_1_0,3640,30,0,budget,0,61,true,5,685,84,121,0,1,0,0,0,0,-1,normal,false,8,9,200,3440,0,0,0,false,false,true,0,0,3640,30,0,
7,tempted_1_0,4686,30,0,budget,0,51,true,5,1430,97,185,0.5666666666666667,0.43333333333333335,0,0,0,2,20,normal,false,6,15,1151,3535,0,0,0,false,false,true,0,0,4686,30,0,
8,tempted_1_0,5290,36,6,budget,0,77,true,6,865,113,149,0.027777777777777776,0.8888888888888888,0.08333333333333333,0,0,3,11,normal,false,11,9,15,4975,300,0,0,false,false,false,0,0,5290,36,0,
9,tempted_1_0,2031,30,0,budget,0,50,true,3,300,56,106,0.5333333333333333,0.4666666666666667,0,0,0,3,9,normal,false,7,10,711,1320,0,0,0,false,false,false,0,0,2031,30,0,
10,tempted_1_0,4384,30,0,budget,0,69,true,4,650,98,140,0.13333333333333333,0.8666666666666667,0,0,0,2,22,normal,false,3,12,144,4240,0,0,0,false,false,false,0,0,4384,30,0,
11,tempted_1_0,2885,30,0,budget,0,50,true,3,355,77,133,0.43333333333333335,0.5666666666666667,0,0,0,5,7,normal,false,5,16,515,2370,0,0,0,false,false,true,0,0,2885,30,0,
12,tempted_1_0,20262,57,27,budget,1,100,true,6,4900,209,314,0.14035087719298245,0.5964912280701754,0.17543859649122806,0,0.08771929824561403,11,4,crash,false,6,32,322,6085,4230,765,8860,false,true,true,7080,5,13182,52,1,4
13,tempted_1_0,13928,63,33,budget,1,100,true,6,1380,213,290,0.09523809523809523,0.6666666666666666,0.15873015873015872,0,0.07936507936507936,15,2,normal,false,4,33,418,5815,2280,1815,3600,false,true,false,2760,5,11168,58,1,3
14,tempted_1_0,1649,32,2,budget,0,70,true,3,275,44,97,0.5625,0.4375,0,0,0,2,1,crash,false,18,7,484,1165,0,0,0,false,false,false,0,0,1649,32,0,
15,tempted_1_0,3816,34,4,budget,0,97,true,3,1000,81,101,0.08823529411764706,0.7647058823529411,0.08823529411764706,0.058823529411764705,0,4,11,normal,false,8,10,176,1965,1360,315,0,true,true,false,0,0,3816,34,0,
16,tempted_1_0,5290,30,0,budget,0,64,true,5,735,90,146,0.13333333333333333,0.8666666666666667,0,0,0,3,10,crash,false,3,15,215,5075,0,0,0,false,false,false,0,0,5290,30,0,
17,tempted_1_0,12680,24,9,lock,1,100,true,9,4675,96,123,0,0.7083333333333334,0.08333333333333333,0,0.20833333333333334,2,17,normal,false,5,13,60,2400,3900,360,5960,false,false,false,4600,5,8080,19,1,2
18,tempted_1_0,3306,30,0,budget,0,56,true,3,375,83,130,0.36666666666666664,0.6333333333333333,0,0,0,4,9,normal,false,5,14,476,2830,0,0,0,false,false,true,0,0,3306,30,0,
19,tempted_1_0,6975,34,4,budget,0,82,true,6,2040,122,168,0.029411764705882353,0.9705882352941176,0,0,0,3,6,normal,false,3,16,180,4965,1830,0,0,false,false,false,0,0,6975,34,0,
20,tempted_1_0,2873,30,2,lock,0,74,true,3,600,71,113,0.2,0.7666666666666667,0.03333333333333333,0,0,2,1,crash,false,6,9,123,2660,90,0,0,false,false,false,0,0,2873,30,0,
21,tempted_1_0,2783,30,0,budget,0,63,true,3,320,64,117,0.3333333333333333,0.6666666666666666,0,0,0,1,25,crash,false,7,12,388,2395,0,0,0,false,false,true,0,0,2783,30,0,
22,tempted_1_0,13160,49,19,budget,1,100,true,6,2040,166,239,0.04081632653061224,0.7142857142857143,0.10204081632653061,0.04081632653061224,0.10204081632653061,9,1,normal,false,8,18,185,6160,1880,375,4560,false,true,false,3720,5,9440,44,1,5
23,tempted_1_0,13425,43,13,budget,1,100,true,4,2010,160,216,0.11627906976744186,0.6511627906976745,0.09302325581395349,0.023255813953488372,0.11627906976744186,6,15,normal,false,5,23,345,3530,1780,330,7440,false,true,true,7170,5,6255,38,1,3
24,tempted_1_0,2479,30,0,budget,0,60,true,4,375,58,114,0.5333333333333333,0.4666666666666667,0,0,0,3,11,crash,false,4,11,719,1760,0,0,0,false,false,true,0,0,2479,30,0,
25,tempted_1_0,11957,52,22,budget,2,100,true,6,1440,160,228,0.23076923076923078,0.40384615384615385,0.15384615384615385,0.019230769230769232,0.19230769230769232,7,7,normal,false,7,22,707,2875,1710,1605,5060,false,true,true,6600,10,5357,42,2,4|6
26,tempted_1_0,4224,32,2,budget,0,75,true,4,465,90,172,0.21875,0.75,0.03125,0,0,4,11,normal,false,2,15,649,3455,120,0,0,false,false,true,0,0,4224,32,0,
27,tempted_1_0,18725,72,42,budget,2,100,false,5,2180,229,263,0,0.5833333333333334,0.2222222222222222,0.05555555555555555,0.1388888888888889,15,5,normal,false,5,35,0,3545,4860,1440,8880,false,true,true,8180,10,10545,62,2,4|5
28,tempted_1_0,2644,30,0,budget,0,58,true,3,345,72,112,0.26666666666666666,0.7333333333333333,0,0,0,5,10,normal,false,4,11,419,2225,0,0,0,false,false,false,0,0,2644,30,0,
29,tempted_1_0,3241,29,4,lock,0,77,true,3,435,80,121,0.20689655172413793,0.7586206896551724,0.034482758620689655,0,0,6,2,normal,false,7,11,231,2740,270,0,0,false,false,false,0,0,3241,29,0,
30,tempted_1_0,3404,30,0,budget,0,67,true,5,915,91,134,0.23333333333333334,0.7666666666666667,0,0,0,5,10,normal,false,4,12,844,2560,0,0,0,false,false,true,0,0,3404,30,0,
