seed,bot,score,moves,movesEarned,endReason,frenzies,peakMeter,crashed,maxCombo,bestMovePts,proteinTiles,carbTiles,pctCrash,pctNormal,pctKeto,pctDeep,pctFrenzy,tierUpsSeen,firstTierUpMove,endState,endedWithin5OfFrenzy,longestDryGap,rewardEvents,ptsCrash,ptsNormal,ptsKeto,ptsDeep,ptsFrenzy,nearMissNoFrenzy,fellBackWithoutFrenzy,lastMoveWasReward,ptsInFrenzy,movesInFrenzy,ptsOutside,movesOutside,climbCount,climbLengths
668,ketoBig,12925,51,21,budget,1,100,false,5,1680,166,213,0,0.7058823529411765,0.17647058823529413,0.0196078431372549,0.09803921568627451,8,10,normal,false,6,23,0,5605,2370,1290,3660,false,false,false,4755,5,8170,46,1,2
669,ketoBig,8894,46,16,budget,0,94,true,7,1970,128,207,0.21739130434782608,0.6086956521739131,0.17391304347826086,0,0,10,1,crash,false,10,19,369,5730,1400,1395,0,true,false,false,0,0,8894,46,0,
670,ketoBig,9856,58,28,budget,0,90,true,4,1010,170,225,0.10344827586206896,0.6724137931034483,0.15517241379310345,0.06896551724137931,0,16,7,normal,false,6,26,226,4595,3280,1755,0,true,false,false,0,0,9856,58,0,
671,ketoBig,6800,45,15,budget,1,100,true,3,840,106,156,0.15555555555555556,0.6,0.08888888888888889,0.044444444444444446,0.1111111111111111,9,2,normal,false,6,19,210,2735,420,1035,2400,false,false,true,1650,5,5150,40,1,6
672,ketoBig,3290,18,10,lock,0,94,false,3,510,49,77,0,0.7222222222222222,0.2222222222222222,0.05555555555555555,0,5,1,normal,false,2,11,0,1610,1230,450,0,true,false,false,0,0,3290,18,0,
673,ketoBig,2172,32,2,budget,0,70,true,4,233,58,123,0.4375,0.5625,0,0,0,2,3,crash,false,5,10,837,1335,0,0,0,false,false,true,0,0,2172,32,0,
674,ketoBig,13843,46,16,budget,2,100,true,6,3370,131,202,0.043478260869565216,0.5869565217391305,0.15217391304347827,0,0.21739130434782608,4,2,normal,false,6,17,93,3030,3850,1350,5520,false,false,false,6630,10,7213,36,2,3|5
675,ketoBig,5755,23,21,lock,1,100,false,3,1680,70,79,0,0.391304347826087,0.34782608695652173,0.043478260869565216,0.21739130434782608,8,2,keto,false,2,15,0,1085,1500,90,3080,false,true,true,3050,5,2705,18,1,5
676,ketoBig,11510,49,19,budget,1,100,false,4,1455,143,203,0,0.7346938775510204,0.16326530612244897,0,0.10204081632653061,6,4,normal,false,9,18,0,3585,2570,1575,3780,false,false,false,3660,5,7850,44,1,5
677,ketoBig,3683,30,0,budget,0,52,true,4,790,72,133,0.16666666666666666,0.8333333333333334,0,0,0,1,22,crash,false,8,10,203,3480,0,0,0,false,false,true,0,0,3683,30,0,
678,ketoBig,1751,22,0,lock,0,53,true,4,340,41,82,0.45454545454545453,0.5454545454545454,0,0,0,2,11,crash,false,6,5,686,1065,0,0,0,false,false,false,0,0,1751,22,0,
679,ketoBig,3000,30,0,budget,0,63,true,3,365,68,114,0.1,0.9,0,0,0,1,23,normal,false,4,12,255,2745,0,0,0,false,false,true,0,0,3000,30,0,
680,ketoBig,3603,30,0,budget,0,54,true,5,750,70,120,0.2,0.8,0,0,0,3,15,normal,false,4,11,173,3430,0,0,0,false,false,false,0,0,3603,30,0,
681,ketoBig,3975,30,0,budget,0,63,false,5,810,86,123,0,1,0,0,0,0,-1,normal,false,4,13,0,3975,0,0,0,false,false,false,0,0,3975,30,0,
682,ketoBig,42430,107,77,budget,5,100,true,7,6240,336,489,0.028037383177570093,0.42990654205607476,0.21495327102803738,0.09345794392523364,0.2336448598130841,28,4,normal,false,7,58,290,6810,5020,11670,18640,false,true,false,16240,25,26190,82,5,7|4|2|11|4
683,ketoBig,12988,55,25,budget,1,100,true,4,1450,167,263,0.12727272727272726,0.6545454545454545,0.12727272727272726,0,0.09090909090909091,12,2,crash,false,4,27,413,4090,3570,1575,3340,false,false,false,3820,5,9168,50,1,3
