seed,bot,move,meterBefore,meterAfter,tierBefore,stateAfter,pts,steps,gained,protein,carb,rushTaken,tierChange,refund,frenzyStarted,frenzyEnded,movesLeftAfter,altProteinPts,altCarbPts
1,tempted_1_0,1,50,52,normal,normal,60,1,6,3,3,false,0,0,false,false,29,60,45
1,tempted_1_0,2,52,42,normal,normal,45,1,3,0,3,true,0,0,false,false,28,30,45
1,tempted_1_0,3,42,16,normal,normal,180,2,9,0,9,true,0,0,false,false,27,30,90
1,tempted_1_0,4,16,7,normal,crash,45,1,3,0,3,true,-1,0,false,false,26,30,45
1,tempted_1_0,5,7,16,crash,normal,158,3,12,4,8,true,1,0,false,false,25,15,23
1,tempted_1_0,6,16,19,normal,normal,75,2,6,3,3,true,0,0,false,false,24,40,45
1,tempted_1_0,7,19,10,normal,crash,45,1,3,0,3,true,-1,0,false,false,23,40,45
1,tempted_1_0,8,10,25,crash,normal,120,2,9,6,3,false,1,0,false,false,22,30,23
1,tempted_1_0,9,25,56,normal,normal,110,2,8,8,0,false,0,0,false,false,21,50,45
1,tempted_1_0,10,56,58,normal,normal,105,2,6,3,3,true,0,0,false,false,20,,45
1,tempted_1_0,11,58,40,normal,normal,90,1,6,0,6,true,0,0,false,false,19,80,90
1,tempted_1_0,12,40,55,normal,normal,350,3,18,10,8,false,0,0,false,false,18,110,75
1,tempted_1_0,13,55,42,normal,normal,195,2,11,3,8,true,0,0,false,false,17,30,75
1,tempted_1_0,14,42,43,normal,normal,280,3,11,5,6,true,0,0,false,false,16,30,45
1,tempted_1_0,15,43,57,normal,normal,195,3,9,6,3,true,0,0,false,false,15,30,45
1,tempted_1_0,16,57,70,normal,keto,240,2,9,6,3,false,1,2,false,false,16,60,45
1,tempted_1_0,17,70,60,keto,normal,90,1,3,0,3,true,-1,0,false,false,15,60,90
1,tempted_1_0,18,60,62,normal,normal,105,2,6,3,3,true,0,0,false,false,14,30,45
1,tempted_1_0,19,62,52,normal,normal,45,1,3,0,3,true,0,0,false,false,13,40,45
1,tempted_1_0,20,52,70,normal,keto,260,3,12,8,4,true,1,2,false,false,14,50,60
1,tempted_1_0,21,70,90,keto,deep,280,2,11,8,3,false,1,2,false,false,15,160,90
1,tempted_1_0,22,90,76,deep,keto,180,1,4,0,4,true,-1,0,false,false,14,90,180
1,tempted_1_0,23,76,88,keto,deep,330,3,9,6,3,true,1,4,false,false,17,60,90
1,tempted_1_0,24,88,82,deep,keto,180,1,6,1,5,false,-1,0,false,false,16,180,180
1,tempted_1_0,25,82,100,keto,frenzy,120,1,6,6,0,false,frenzy,5,true,false,20,120,90
1,tempted_1_0,26,100,100,frenzy,frenzy,1800,3,18,7,11,false,0,0,false,false,19,240,180
1,tempted_1_0,27,100,100,frenzy,frenzy,480,2,7,3,4,true,0,0,false,false,18,120,240
1,tempted_1_0,28,100,100,frenzy,frenzy,440,1,11,5,6,false,0,0,false,false,17,440,180
1,tempted_1_0,29,100,100,frenzy,frenzy,240,1,4,0,4,true,0,0,false,false,16,120,240
1,tempted_1_0,30,100,70,frenzy,keto,540,2,6,0,6,true,-1,0,false,true,15,120,180
1,tempted_1_0,31,70,63,keto,normal,210,2,9,3,6,true,-1,0,false,false,14,80,90
1,tempted_1_0,32,63,76,normal,keto,195,3,9,6,3,true,1,2,false,false,15,40,45
1,tempted_1_0,33,76,96,keto,deep,640,3,11,8,3,false,1,2,false,false,16,100,90
1,tempted_1_0,34,96,82,deep,keto,180,1,4,0,4,true,-1,0,false,false,15,,180
1,tempted_1_0,35,82,68,keto,normal,570,2,11,0,11,true,-1,0,false,false,14,,90
1,tempted_1_0,36,68,52,normal,normal,75,1,5,0,5,true,0,0,false,false,13,30,75
1,tempted_1_0,37,52,42,normal,normal,45,1,3,0,3,true,0,0,false,false,12,30,45
1,tempted_1_0,38,42,33,normal,normal,45,1,3,0,3,true,0,0,false,false,11,30,45
1,tempted_1_0,39,33,64,normal,normal,110,2,8,8,0,false,0,0,false,false,10,50,
