seed,bot,score,moves,movesEarned,endReason,frenzies,peakMeter,crashed,maxCombo,bestMovePts,proteinTiles,carbTiles,pctCrash,pctNormal,pctKeto,pctDeep,pctFrenzy,tierUpsSeen,firstTierUpMove,endState,endedWithin5OfFrenzy,longestDryGap,rewardEvents,ptsCrash,ptsNormal,ptsKeto,ptsDeep,ptsFrenzy,nearMissNoFrenzy,fellBackWithoutFrenzy,lastMoveWasReward,ptsInFrenzy,movesInFrenzy,ptsOutside,movesOutside,climbCount,climbLengths
997,lookahead,53315,172,142,budget,8,100,true,5,2620,481,701,0.09302325581395349,0.32558139534883723,0.27325581395348836,0.0755813953488372,0.23255813953488372,57,1,normal,false,8,99,855,5610,15160,11010,20680,false,true,false,15700,40,37615,132,8,8|7|3|7|7|5|3|3
998,lookahead,15763,47,17,budget,1,100,true,5,2790,152,232,0.0851063829787234,0.6170212765957447,0.1702127659574468,0.02127659574468085,0.10638297872340426,7,23,normal,false,7,24,113,5515,1800,1215,7120,false,false,true,6670,5,9093,42,1,2
999,lookahead,11805,35,19,lock,1,100,true,6,2540,118,164,0,0.6857142857142857,0.14285714285714285,0.02857142857142857,0.14285714285714285,6,8,normal,false,5,16,30,3830,1560,945,5440,false,false,true,5800,5,6005,30,0,
1000,lookahead,10650,58,28,budget,0,96,true,6,1375,156,223,0.05172413793103448,0.603448275862069,0.27586206896551724,0.06896551724137931,0,14,2,normal,false,6,29,175,5805,2960,1710,0,true,true,false,0,0,10650,58,0,
1001,lookahead,5710,30,0,budget,0,66,true,4,600,108,163,0.06666666666666667,0.9333333333333333,0,0,0,1,22,crash,false,6,10,135,5575,0,0,0,false,false,false,0,0,5710,30,0,
1002,lookahead,8095,40,10,budget,0,83,true,5,1230,107,181,0.025,0.825,0.15,0,0,5,7,normal,false,7,19,125,4850,3120,0,0,false,false,true,0,0,8095,40,0,
1003,lookahead,36801,109,79,budget,3,100,true,6,5420,334,500,0.01834862385321101,0.6055045871559633,0.2018348623853211,0.03669724770642202,0.13761467889908258,26,4,normal,false,6,61,141,9090,10570,720,16280,false,true,true,9940,15,26861,94,2,2|3
1004,lookahead,46438,114,84,budget,6,100,true,6,3980,360,502,0.03508771929824561,0.35964912280701755,0.2543859649122807,0.08771929824561403,0.2631578947368421,28,2,crash,false,8,60,188,6080,6640,9390,24140,false,true,false,23970,30,22468,84,5,5|4|3|7|3
1005,lookahead,16230,58,28,budget,0,99,false,7,1855,231,335,0,0.8103448275862069,0.13793103448275862,0.05172413793103448,0,14,3,normal,false,3,36,0,10450,4010,1770,0,true,true,true,0,0,16230,58,0,
1006,lookahead,14759,66,38,lock,0,97,true,5,990,195,320,0.030303030303030304,0.696969696969697,0.19696969696969696,0.07575757575757576,0,18,2,normal,false,4,39,684,6880,5800,1395,0,true,true,false,0,0,14759,66,0,
