seed,bot,score,moves,movesEarned,endReason,frenzies,peakMeter,crashed,maxCombo,bestMovePts,proteinTiles,carbTiles,pctCrash,pctNormal,pctKeto,pctDeep,pctFrenzy,tierUpsSeen,firstTierUpMove,endState,endedWithin5OfFrenzy,longestDryGap,rewardEvents,ptsCrash,ptsNormal,ptsKeto,ptsDeep,ptsFrenzy,nearMissNoFrenzy,fellBackWithoutFrenzy,lastMoveWasReward,ptsInFrenzy,movesInFrenzy,ptsOutside,movesOutside,climbCount,climbLengths
1764,tempted_1_25,3324,32,2,budget,0,80,true,3,500,71,120,0.3125,0.6875,0,0,0,6,8,crash,false,5,13,429,2445,450,0,0,false,false,false,0,0,3324,32,0,
1765,tempted_1_25,5529,30,0,budget,0,63,true,7,1405,100,189,0.4,0.6,0,0,0,4,6,normal,false,3,13,749,4780,0,0,0,false,false,true,0,0,5529,30,0,
1766,tempted_1_25,12556,49,19,budget,1,100,true,5,2960,153,208,0.12244897959183673,0.6122448979591837,0.12244897959183673,0.04081632653061224,0.10204081632653061,10,1,crash,false,6,25,156,3145,3200,2895,3160,false,true,false,2980,5,9576,44,1,3
1767,tempted_1_25,2917,30,0,budget,0,64,true,5,630,76,109,0.2,0.8,0,0,0,2,10,normal,false,6,10,242,2675,0,0,0,false,false,true,0,0,2917,30,0,
1768,tempted_1_25,2472,30,0,budget,0,50,true,3,355,64,118,0.3,0.7,0,0,0,3,13,crash,false,5,10,192,2280,0,0,0,false,false,false,0,0,2472,30,0,
1769,tempted_1_25,3316,30,0,budget,0,54,true,4,515,74,128,0.16666666666666666,0.8333333333333334,0,0,0,4,11,normal,false,5,14,261,3055,0,0,0,false,false,true,0,0,3316,30,0,
1770,tempted_1_25,6272,50,20,budget,0,90,true,5,560,141,185,0.16,0.68,0.14,0.02,0,11,3,normal,false,6,21,752,3405,1980,135,0,true,false,true,0,0,6272,50,0,
1771,tempted_1_25,7248,37,7,budget,1,100,true,4,1980,104,157,0.13513513513513514,0.6756756756756757,0.05405405405405406,0,0.13513513513513514,6,1,normal,false,4,17,208,3220,580,0,3240,false,false,false,2940,5,4308,32,1,2
1772,tempted_1_25,2774,30,0,budget,0,53,true,4,645,71,121,0.43333333333333335,0.5666666666666667,0,0,0,2,10,normal,false,8,7,719,2055,0,0,0,false,false,false,0,0,2774,30,0,
1773,tempted_1_25,6537,44,14,budget,0,97,true,4,780,120,184,0.1590909090909091,0.6363636363636364,0.13636363636363635,0.06818181818181818,0,6,12,normal,false,10,20,232,3155,2070,1080,0,true,true,true,0,0,6537,44,0,
1774,tempted_1_25,6101,32,2,budget,0,76,true,6,1535,105,165,0.15625,0.84375,0,0,0,4,7,normal,false,8,13,506,4605,990,0,0,false,false,false,0,0,6101,32,0,
1775,tempted_1_25,4569,34,4,budget,0,74,true,6,1050,102,143,0.17647058823529413,0.7647058823529411,0.058823529411764705,0,0,5,1,normal,false,9,15,214,4055,300,0,0,false,false,true,0,0,4569,34,0,
1776,tempted_1_25,4111,36,6,budget,0,77,true,4,555,87,149,0.25,0.75,0,0,0,7,8,normal,false,6,20,341,2990,780,0,0,false,false,true,0,0,4111,36,0,
1777,tempted_1_25,4352,30,0,budget,0,53,true,8,1223,90,155,0.23333333333333334,0.7666666666666667,0,0,0,3,13,crash,false,8,11,797,3555,0,0,0,false,false,false,0,0,4352,30,0,
1778,tempted_1_25,4185,34,4,budget,0,72,true,4,650,107,132,0.029411764705882353,0.9411764705882353,0.029411764705882353,0,0,3,6,normal,false,13,12,25,4040,120,0,0,false,false,true,0,0,4185,34,0,
1779,tempted_1_25,6545,38,8,budget,0,95,true,5,735,131,185,0,0.8947368421052632,0.02631578947368421,0.07894736842105263,0,3,10,normal,false,4,19,30,5395,580,540,0,true,true,false,0,0,6545,38,0,
1780,tempted_1_25,3748,30,0,budget,0,60,true,4,545,85,159,0.3,0.7,0,0,0,2,21,crash,false,4,13,538,3210,0,0,0,false,false,false,0,0,3748,30,0,
1781,tempted_1_25,3033,32,2,budget,0,82,true,4,630,81,121,0.4375,0.53125,0.03125,0,0,5,1,normal,false,8,9,623,1810,600,0,0,false,false,false,0,0,3033,32,0,
1782,tempted_1_25,5656,42,12,budget,0,94,true,3,1030,118,201,0.2619047619047619,0.6428571428571429,0.09523809523809523,0,0,7,8,crash,false,5,20,576,3630,640,810,0,true,false,true,0,0,5656,42,0,
1783,tempted_1_25,3138,30,0,budget,0,58,true,4,460,87,144,0.5333333333333333,0.4666666666666667,0,0,0,2,13,normal,false,5,11,943,2195,0,0,0,false,false,false,0,0,3138,30,0,
1784,tempted_1_25,3057,30,0,budget,0,50,true,4,285,83,137,0.36666666666666664,0.6333333333333333,0,0,0,5,7,normal,false,5,14,1007,2050,0,0,0,false,false,true,0,0,3057,30,0,
1785,tempted_1_25,1904,30,0,budget,0,50,true,4,333,49,102,0.5,0.5,0,0,0,3,9,crash,false,5,12,524,1380,0,0,0,false,false,false,0,0,1904,30,0,
1786,tempted_1_25,5355,36,6,budget,0,80,true,6,1160,103,162,0.25,0.6944444444444444,0.05555555555555555,0,0,3,16,normal,false,12,13,535,4040,780,0,0,false,false,true,0,0,5355,36,0,
1787,tempted_1_25,5926,48,18,budget,0,85,true,4,790,123,162,0.08333333333333333,0.75,0.16666666666666666,0,0,8,6,normal,false,10,21,206,3400,2050,270,0,false,false,true,0,0,5926,48,0,
1788,tempted_1_25,3827,32,2,budget,0,77,true,4,420,89,130,0.3125,0.65625,0.03125,0,0,3,7,normal,false,7,15,307,3220,300,0,0,false,false,true,0,0,3827,32,0,
1789,tempted_1_25,3039,30,0,budget,0,52,true,3,320,77,130,0.23333333333333334,0.7666666666666667,0,0,0,3,9,normal,false,2,15,399,2640,0,0,0,false,false,false,0,0,3039,30,0,
1790,tempted_1_25,4988,40,10,budget,0,88,true,5,1050,112,147,0.075,0.775,0.125,0.025,0,8,1,normal,false,7,14,388,3035,1430,135,0,false,false,true,0,0,4988,40,0,
1791,tempted_1_25,3073,30,0,budget,0,50,true,4,490,76,133,0.4,0.6,0,0,0,5,10,normal,false,5,12,608,2465,0,0,0,false,false,true,0,0,3073,30,0,
1792,tempted_1_25,2675,30,0,budget,0,66,true,4,420,60,105,0.3,0.7,0,0,0,1,8,crash,false,7,8,295,2380,0,0,0,false,false,false,0,0,2675,30,0,
1793,tempted_1_25,4553,30,0,budget,0,64,true,6,1045,98,138,0.1,0.9,0,0,0,2,13,normal,false,6,15,163,4390,0,0,0,false,false,false,0,0,4553,30,0,
1794,tempted_1_25,4107,30,0,budget,0,67,true,6,1035,86,121,0.3,0.7,0,0,0,3,17,normal,false,4,10,292,3815,0,0,0,false,false,false,0,0,4107,30,0,
1795,tempted_1_25,6884,42,12,budget,0,82,true,5,2150,128,187,0.14285714285714285,0.7619047619047619,0.09523809523809523,0,0,7,6,crash,false,6,16,294,3700,2890,0,0,false,false,false,0,0,6884,42,0,
1796,tempted_1_25,1769,24,0,lock,0,50,true,3,275,50,81,0.2916666666666667,0.7083333333333334,0,0,0,1,18,normal,false,4,7,284,1485,0,0,0,false,false,false,0,0,1769,24,0,
1797,tempted_1_25,3891,32,2,budget,0,78,true,3,390,101,136,0.0625,0.875,0.0625,0,0,3,16,normal,false,3,18,381,3300,210,0,0,false,false,false,0,0,3891,32,0,
1798,tempted_1_25,6007,36,13,lock,1,100,true,3,1080,116,137,0.2222222222222222,0.4722222222222222,0.1111111111111111,0.05555555555555555,0.1388888888888889,5,10,keto,false,4,22,227,2715,230,375,2460,false,false,false,1620,5,4387,31,1,5
1799,tempted_1_25,5191,39,9,budget,1,100,true,5,540,109,160,0.23076923076923078,0.5641025641025641,0.05128205128205128,0.02564102564102564,0.1282051282051282,9,3,crash,false,9,12,671,2710,630,360,820,false,false,false,1020,5,4171,34,1,3
1800,tempted_1_25,8306,34,4,budget,0,85,true,7,2220,134,194,0.14705882352941177,0.8235294117647058,0.029411764705882353,0,0,5,6,normal,false,4,20,366,6050,1890,0,0,false,false,false,0,0,8306,34,0,
1801,tempted_1_25,3415,32,2,budget,0,78,true,5,1045,82,106,0,1,0,0,0,1,18,normal,false,10,6,60,2905,450,0,0,false,false,false,0,0,3415,32,0,
1802,tempted_1_25,3216,30,0,budget,0,69,true,4,400,88,126,0.1,0.9,0,0,0,1,10,normal,false,9,11,231,2985,0,0,0,false,false,false,0,0,3216,30,0,
1803,tempted_1_25,3725,30,0,budget,0,68,true,4,425,96,148,0.23333333333333334,0.7666666666666667,0,0,0,4,7,normal,false,3,15,570,3155,0,0,0,false,false,true,0,0,3725,30,0,
1804,tempted_1_25,6364,36,6,budget,0,87,true,5,930,103,168,0.16666666666666666,0.7777777777777778,0.05555555555555555,0,0,4,11,normal,false,9,15,179,4595,1050,540,0,false,false,true,0,0,6364,36,0,
1805,tempted_1_25,3212,32,2,budget,0,71,true,4,515,85,134,0.34375,0.65625,0,0,0,3,5,normal,false,3,17,617,2595,0,0,0,false,false,false,0,0,3212,32,0,
1806,tempted_1_25,2605,30,0,budget,0,50,true,3,255,66,128,0.3333333333333333,0.6666666666666666,0,0,0,2,11,crash,false,5,10,615,1990,0,0,0,false,false,false,0,0,2605,30,0,
1807,tempted_1_25,2390,6,0,lock,0,54,false,6,1370,25,45,0,1,0,0,0,0,-1,normal,false,2,3,0,2390,0,0,0,false,false,false,0,0,2390,6,0,
1808,tempted_1_25,10018,45,15,budget,1,100,true,7,2090,129,177,0.26666666666666666,0.5333333333333333,0.06666666666666667,0.022222222222222223,0.1111111111111111,10,1,normal,false,4,18,318,3330,2010,240,4120,false,false,true,3480,5,6538,40,1,2
1809,tempted_1_25,3370,30,0,budget,0,50,true,5,525,76,144,0.43333333333333335,0.5666666666666667,0,0,0,4,6,normal,false,5,14,985,2385,0,0,0,false,false,true,0,0,3370,30,0,
1810,tempted_1_25,4298,30,0,budget,0,68,true,6,780,81,147,0.2,0.8,0,0,0,4,10,normal,false,4,11,288,4010,0,0,0,false,false,true,0,0,4298,30,0,
1811,tempted_1_25,4941,30,0,budget,0,65,true,5,940,94,173,0.3,0.7,0,0,0,4,4,normal,false,3,13,566,4375,0,0,0,false,false,false,0,0,4941,30,0,
1812,tempted_1_25,20613,90,60,budget,2,100,true,6,1350,290,382,0.05555555555555555,0.6333333333333333,0.15555555555555556,0.044444444444444446,0.1111111111111111,22,4,crash,false,9,49,248,9605,5180,960,4620,false,false,false,4875,10,15738,80,1,3
1813,tempted_1_25,3355,30,0,budget,0,51,true,5,800,77,115,0.13333333333333333,0.8666666666666667,0,0,0,3,6,normal,false,3,11,415,2940,0,0,0,false,false,false,0,0,3355,30,0,
1814,tempted_1_25,3887,32,2,budget,0,79,true,4,510,84,136,0.1875,0.8125,0,0,0,3,5,normal,false,6,14,377,3330,180,0,0,false,false,true,0,0,3887,32,0,
1815,tempted_1_25,3604,29,2,lock,0,76,true,4,525,89,124,0.13793103448275862,0.8275862068965517,0.034482758620689655,0,0,2,7,normal,false,2,13,264,3250,90,0,0,false,false,true,0,0,3604,29,0,
