knob,value,bot,medianScore,p10Score,p90Score,medianMoves,p90Moves,maxMoves,pctBudgetEnd,avgFrenzies,pctRunsWithFrenzy,pctRunsWithTierUp,medianLongestDryGap
sugarRush,1.75,casual,4475,2677,12213,34,56,115,0.928,0.296,0.21,0.942,6
sugarRush,1.75,ketoBig,6889.5,3308,19417,40,67,126,0.906,0.694,0.398,0.972,5.5
sugarRush,1.75,lookahead,9861.5,4394,44491,42,100,257,0.928,1.2,0.426,0.972,5
sugarRush,2,casual,4872.5,2940,13210,34,56,115,0.928,0.296,0.21,0.942,6
sugarRush,2,ketoBig,7525,3570,21060,40,67,126,0.906,0.694,0.398,0.972,5
sugarRush,2,lookahead,10577.5,5065,45980,42,96,314,0.922,1.228,0.422,0.976,5
frenzyMoves,3,casual,4064.5,2404,10418,34,56,108,0.928,0.302,0.21,0.942,6
frenzyMoves,3,ketoBig,6139,2998,15745,39.5,69,161,0.904,0.728,0.398,0.972,5
frenzyMoves,3,lookahead,8428,4045,31445,40,97,237,0.922,1.14,0.414,0.96,5
frenzyMoves,5,casual,4064.5,2404,11203,34,56,115,0.928,0.296,0.21,0.942,6
frenzyMoves,5,ketoBig,6232,2998,17685,40,67,126,0.906,0.694,0.398,0.972,6
frenzyMoves,5,lookahead,8428,4045,38710,40,99,236,0.938,1.15,0.414,0.96,5
frenzyMoves,7,casual,4064.5,2404,12123,34,58,147,0.926,0.3,0.21,0.942,6
frenzyMoves,7,ketoBig,6269.5,2998,19270,40,69,135,0.902,0.7,0.398,0.972,6
frenzyMoves,7,lookahead,8428,4045,40970,40,95,239,0.924,1.15,0.414,0.96,5
frenzyLand,55,casual,4064.5,2404,9860,34,53,90,0.928,0.25,0.21,0.942,6
frenzyLand,55,ketoBig,6107.5,2998,14690,39,63,108,0.908,0.562,0.398,0.972,5
frenzyLand,55,lookahead,8226,4045,24840,40,75,137,0.94,0.726,0.414,0.96,5
frenzyLand,70,casual,4064.5,2404,11203,34,56,115,0.928,0.296,0.21,0.942,6
frenzyLand,70,ketoBig,6232,2998,17685,40,67,126,0.906,0.694,0.398,0.972,6
frenzyLand,70,lookahead,8428,4045,38710,40,99,236,0.938,1.15,0.414,0.96,5
frenzyLand,80,casual,4064.5,2404,12165,34,59,174,0.928,0.37,0.21,0.942,6
frenzyLand,80,ketoBig,6380.5,2998,22650,40,78,208,0.896,0.988,0.398,0.972,6
frenzyLand,80,lookahead,8567.5,4045,55128,40,132,468,0.92,2.162,0.414,0.96,5
carbLoss,2,casual,20307.5,3480,49525,82.5,168,319,0.808,3.676,0.798,0.952,6
carbLoss,2,ketoBig,36587.5,8225,78635,110,214,414,0.78,6.244,0.922,0.994,6
carbLoss,2,lookahead,114217.5,17170,331810,224,595,1724,0.55,19.236,0.938,0.988,6
carbLoss,3,casual,4064.5,2404,11203,34,56,115,0.928,0.296,0.21,0.942,6
carbLoss,3,ketoBig,6232,2998,17685,40,67,126,0.906,0.694,0.398,0.972,6
carbLoss,3,lookahead,8428,4045,38710,40,99,236,0.938,1.15,0.414,0.96,5
carbLoss,4,casual,3077,1995,5884,30,40,90,0.938,0.094,0.076,0.978,6
carbLoss,4,ketoBig,3795,2406,8464,32,45,103,0.926,0.206,0.16,0.984,5
carbLoss,4,lookahead,5424,3531,13581,32,49,101,0.968,0.24,0.148,0.974,5
proteinGain,3,casual,2909,2009,4620,30,34,47,0.944,0.01,0.01,0.928,6
proteinGain,3,ketoBig,3454,2288,5849,30,38,62,0.938,0.03,0.028,0.942,5
proteinGain,3,lookahead,4881,3121,7905,30,36,76,0.958,0.032,0.024,0.928,5
proteinGain,4,casual,4064.5,2404,11203,34,56,115,0.928,0.296,0.21,0.942,6
proteinGain,4,ketoBig,6232,2998,17685,40,67,126,0.906,0.694,0.398,0.972,6
proteinGain,4,lookahead,8428,4045,38710,40,99,236,0.938,1.15,0.414,0.96,5
proteinGain,5,casual,14615,3097,46879,69,161,341,0.836,3.478,0.75,0.98,7
proteinGain,5,ketoBig,27520,5410,71545,96.5,215,677,0.796,6.002,0.878,0.998,6
proteinGain,5,lookahead,107217,10065,413232,210,781,3432,0.502,25.574,0.916,0.988,6
