seed,bot,score,moves,movesEarned,endReason,frenzies,peakMeter,crashed,maxCombo,bestMovePts,proteinTiles,carbTiles,pctCrash,pctNormal,pctKeto,pctDeep,pctFrenzy,tierUpsSeen,firstTierUpMove,endState,endedWithin5OfFrenzy,longestDryGap,rewardEvents,ptsCrash,ptsNormal,ptsKeto,ptsDeep,ptsFrenzy,nearMissNoFrenzy,fellBackWithoutFrenzy,lastMoveWasReward,ptsInFrenzy,movesInFrenzy,ptsOutside,movesOutside,climbCount,climbLengths
1,tempted_2_0,8450,56,26,budget,0,88,true,5,835,160,223,0.03571428571428571,0.7857142857142857,0.16071428571428573,0.017857142857142856,0,13,3,normal,false,5,30,30,5900,1710,810,0,false,false,false,0,0,8450,56,0,
2,tempted_2_0,7890,34,4,budget,0,73,true,10,3495,126,183,0.029411764705882353,0.9705882352941176,0,0,0,3,13,normal,false,6,14,180,7470,240,0,0,false,false,true,0,0,7890,34,0,
3,tempted_2_0,3105,30,0,budget,0,63,true,3,365,78,126,0.16666666666666666,0.8333333333333334,0,0,0,1,15,normal,false,3,17,335,2770,0,0,0,false,false,false,0,0,3105,30,0,
4,tempted_2_0,3506,30,0,budget,0,50,true,3,540,65,144,0.23333333333333334,0.7666666666666667,0,0,0,2,20,crash,false,6,11,371,3135,0,0,0,false,false,true,0,0,3506,30,0,
5,tempted_2_0,21036,80,50,budget,2,100,true,5,2355,242,349,0.0625,0.4625,0.2625,0.0875,0.125,22,2,normal,false,6,49,481,4450,4000,7125,4980,false,true,true,5190,10,15846,70,2,5|4
6,tempted_2_0,7190,38,8,budget,0,97,true,5,1360,125,171,0.02631578947368421,0.868421052631579,0.07894736842105263,0.02631578947368421,0,3,9,crash,false,5,16,0,4100,2010,1080,0,true,true,false,0,0,7190,38,0,
7,tempted_2_0,3103,30,0,budget,0,64,true,3,420,71,134,0.43333333333333335,0.5666666666666667,0,0,0,2,18,crash,false,4,16,578,2525,0,0,0,false,false,false,0,0,3103,30,0,
8,tempted_2_0,4450,36,6,budget,0,73,true,4,540,107,143,0.027777777777777776,0.9444444444444444,0.027777777777777776,0,0,4,2,normal,false,4,17,15,4315,120,0,0,false,false,false,0,0,4450,36,0,
9,tempted_2_0,6433,30,0,budget,0,52,true,9,2445,87,155,0.23333333333333334,0.7666666666666667,0,0,0,3,7,normal,false,4,11,328,6105,0,0,0,false,false,false,0,0,6433,30,0,
10,tempted_2_0,3570,32,2,budget,0,76,true,6,1185,79,125,0.1875,0.8125,0,0,0,2,2,crash,false,6,10,250,3140,180,0,0,false,false,false,0,0,3570,32,0,
11,tempted_2_0,3700,34,4,budget,0,74,true,4,495,85,142,0.14705882352941177,0.8235294117647058,0.029411764705882353,0,0,5,4,normal,false,5,14,230,3350,120,0,0,false,false,true,0,0,3700,34,0,
12,tempted_2_0,10060,26,26,lock,2,100,false,4,1560,94,99,0,0.19230769230769232,0.23076923076923078,0.19230769230769232,0.38461538461538464,6,1,keto,false,7,12,0,440,1250,3450,4920,false,true,false,5010,10,5050,16,2,3|8
13,tempted_2_0,6270,43,13,budget,1,100,false,5,1110,121,140,0,0.7906976744186046,0.06976744186046512,0.023255813953488372,0.11627906976744186,4,3,normal,false,6,21,0,3420,240,90,2520,false,false,true,2490,5,3780,38,1,3
14,tempted_2_0,3709,36,6,budget,0,80,true,8,866,88,155,0.5,0.4444444444444444,0.05555555555555555,0,0,5,1,normal,false,7,15,1359,2080,270,0,0,false,false,true,0,0,3709,36,0,
15,tempted_2_0,8725,24,19,lock,1,100,false,5,2880,86,100,0,0.375,0.375,0.041666666666666664,0.20833333333333334,6,7,normal,false,4,13,0,1300,2100,585,4740,false,true,false,4800,5,3925,19,1,7
16,tempted_2_0,4245,32,2,budget,0,82,true,6,945,81,127,0.0625,0.875,0.0625,0,0,2,5,normal,false,5,12,45,3870,330,0,0,false,false,false,0,0,4245,32,0,
17,tempted_2_0,9220,64,34,budget,0,95,true,5,1095,156,231,0.0625,0.65625,0.203125,0.078125,0,16,22,normal,false,6,30,225,4360,1830,2805,0,true,true,true,0,0,9220,64,0,
18,tempted_2_0,24830,77,47,budget,3,100,true,5,2620,253,360,0.012987012987012988,0.5064935064935064,0.2077922077922078,0.07792207792207792,0.19480519480519481,18,3,normal,false,7,44,15,4955,5080,4320,10460,false,true,false,8990,15,15840,62,3,2|5|8
19,tempted_2_0,4620,30,0,budget,0,65,false,5,1465,90,132,0,1,0,0,0,0,-1,normal,false,9,12,0,4620,0,0,0,false,false,true,0,0,4620,30,0,
20,tempted_2_0,3491,32,2,budget,0,84,true,6,518,76,127,0.15625,0.78125,0.0625,0,0,1,1,crash,false,7,13,691,2560,240,0,0,false,false,false,0,0,3491,32,0,
21,tempted_2_0,5986,38,8,budget,0,96,true,4,1365,104,174,0.15789473684210525,0.7105263157894737,0.10526315789473684,0.02631578947368421,0,6,10,normal,false,6,19,241,3650,610,1485,0,true,true,false,0,0,5986,38,0,
22,tempted_2_0,6470,39,9,budget,1,100,true,5,570,121,172,0.02564102564102564,0.7692307692307693,0.07692307692307693,0,0.1282051282051282,4,1,normal,false,10,12,25,4145,660,0,1640,false,false,false,1310,5,5160,34,0,
23,tempted_2_0,4635,34,4,budget,0,78,true,6,1505,100,155,0.029411764705882353,0.9411764705882353,0.029411764705882353,0,0,3,6,normal,false,5,13,15,4320,300,0,0,false,false,true,0,0,4635,34,0,
24,tempted_2_0,4675,30,0,budget,0,62,true,5,860,86,145,0.13333333333333333,0.8666666666666667,0,0,0,3,7,normal,false,6,11,75,4600,0,0,0,false,false,true,0,0,4675,30,0,
25,tempted_2_0,13445,54,24,budget,2,100,true,4,2840,162,241,0.1111111111111111,0.5,0.16666666666666666,0.037037037037037035,0.18518518518518517,8,2,crash,false,7,27,210,3195,1430,870,7740,false,true,false,7330,10,6115,44,2,4|4
26,tempted_2_0,3758,30,0,budget,0,53,true,4,465,74,146,0.3333333333333333,0.6666666666666666,0,0,0,3,9,normal,false,5,12,428,3330,0,0,0,false,false,true,0,0,3758,30,0,
27,tempted_2_0,9745,60,30,budget,2,100,true,3,1260,175,179,0.016666666666666666,0.5833333333333334,0.18333333333333332,0.05,0.16666666666666666,12,2,normal,false,7,28,30,3275,1430,570,4440,false,true,false,2430,10,7315,50,2,7|4
28,tempted_2_0,3360,30,0,budget,0,59,true,4,620,69,107,0.03333333333333333,0.9666666666666667,0,0,0,1,21,normal,false,8,8,15,3345,0,0,0,false,false,false,0,0,3360,30,0,
29,tempted_2_0,7745,46,16,budget,0,95,true,5,1390,132,192,0,0.8913043478260869,0.08695652173913043,0.021739130434782608,0,5,1,normal,false,9,18,30,4960,1270,1485,0,true,true,false,0,0,7745,46,0,
30,tempted_2_0,8725,30,0,budget,0,60,true,10,4730,115,180,0.03333333333333333,0.9666666666666667,0,0,0,1,22,normal,false,4,13,15,8710,0,0,0,false,false,true,0,0,8725,30,0,
31,tempted_2_0,11610,55,25,budget,1,100,false,5,1215,192,256,0,0.7454545454545455,0.14545454545454545,0.01818181818181818,0.09090909090909091,9,24,normal,false,6,28,0,6620,2200,690,2100,false,false,true,2160,5,9450,50,1,7
