knob,value,bot,medianScore,p10Score,p90Score,medianMoves,p90Moves,maxMoves,pctBudgetEnd,avgFrenzies,pctRunsWithFrenzy,pctRunsWithTierUp,medianLongestDryGap
sugarRush,1.25,ketoBig,4014,2239,11022,32.5,54,106,0.924,0.316,0.232,0.942,5
sugarRush,1.25,lookahead,5408.5,2987,21307,31,62,107,0.94,0.52,0.28,0.9333333333333333,5
sugarRush,1.5,casual,3304,1915,8190,27,45,94,0.942,0.154,0.12,0.914,5
sugarRush,1.5,ketoBig,4464,2481,12193,32.5,54,106,0.924,0.316,0.232,0.942,5
sugarRush,1.5,lookahead,5478.5,3170,24765,29,70,152,0.9266666666666666,0.58,0.2866666666666667,0.9066666666666666,5
sugarRush,1.75,casual,3661.5,2127,9030,27,45,94,0.942,0.154,0.12,0.914,5
sugarRush,1.75,ketoBig,4961,2740,13398,32.5,54,106,0.924,0.316,0.232,0.942,5
sugarRush,1.75,lookahead,5935.5,3232,22607,29,61,128,0.9333333333333333,0.5133333333333333,0.29333333333333333,0.9133333333333333,5
sugarRush,2,casual,4007.5,2325,9835,27,45,94,0.942,0.154,0.12,0.914,5
sugarRush,2,ketoBig,5435,2980,14700,32.5,54,106,0.924,0.316,0.232,0.942,5
sugarRush,2,lookahead,6690,3500,31700,29,75,142,0.9533333333333334,0.58,0.29333333333333333,0.9266666666666666,5
frenzyMoves,3,casual,3295,1915,7825,27,46,86,0.94,0.158,0.12,0.914,5
frenzyMoves,3,ketoBig,4444,2481,11210,33,54,83,0.924,0.298,0.232,0.942,5
frenzyMoves,3,lookahead,5575.5,3170,19349,29,63,144,0.9466666666666667,0.44,0.2866666666666667,0.9066666666666666,5
frenzyMoves,5,casual,3304,1915,8190,27,45,94,0.942,0.154,0.12,0.914,5
frenzyMoves,5,ketoBig,4464,2481,12193,32.5,54,106,0.924,0.316,0.232,0.942,5
